GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,5897340.0,2462714.0,42.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,6250890.0,1307452.0,21.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10138363.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,ROTAC,"Rotavirus, last dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,5038877.0,46.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,5903662.0,3099358.0,52.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6259988.0,1606452.0,26.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,5903662.0,2689817.0,46.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6259988.0,1189293.0,19.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2345049.0,2082729.0,89.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11062883.0,10787187.0,98.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2017.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11062883.0,10453822.0,94.0
