GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,1993.0,NTETANUS,Neonatal tetanus,4751.0
WHO_REGIONS,AFR,African Region,1993.0,PERTUSSIS,Pertussis,32602.0
WHO_REGIONS,AFR,African Region,1993.0,POLIO,Poliomyelitis,2015.0
WHO_REGIONS,AFR,African Region,1993.0,TTETANUS,Total tetanus,6817.0
WHO_REGIONS,AFR,African Region,1993.0,YFEVER,Yellow fever,218.0
WHO_REGIONS,AFR,African Region,1992.0,DIPHTHERIA,Diphtheria,2869.0
WHO_REGIONS,AFR,African Region,1992.0,MEASLES,Measles,581125.0
WHO_REGIONS,AFR,African Region,1992.0,NTETANUS,Neonatal tetanus,4461.0
WHO_REGIONS,AFR,African Region,1992.0,PERTUSSIS,Pertussis,39531.0
WHO_REGIONS,AFR,African Region,1992.0,POLIO,Poliomyelitis,1555.0
WHO_REGIONS,AFR,African Region,1992.0,TTETANUS,Total tetanus,7170.0
WHO_REGIONS,AFR,African Region,1992.0,YFEVER,Yellow fever,176.0
